,User,Compound,Negative,Neutral,Positive,Time Stamp,Tweets Ago
57,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:45:39 +0000 2018,57
58,@CNN,0.34,0.893,0.0,0.107,Wed Jun 13 22:45:00 +0000 2018,58
59,@CNN,-0.4019,0.886,0.114,0.0,Wed Jun 13 22:44:49 +0000 2018,59
60,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:41:55 +0000 2018,60
61,@CNN,-0.2732,0.9,0.1,0.0,Wed Jun 13 22:41:04 +0000 2018,61
62,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:36:00 +0000 2018,62
63,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:31:07 +0000 2018,63
64,@CNN,0.2023,0.899,0.0,0.101,Wed Jun 13 22:28:25 +0000 2018,64
65,@CNN,-0.0258,0.889,0.058,0.053,Wed Jun 13 22:21:05 +0000 2018,65
66,@CNN,0.0258,0.945,0.0,0.055,Wed Jun 13 22:11:05 +0000 2018,66
67,@CNN,0.5859,0.78,0.0,0.22,Wed Jun 13 22:07:21 +0000 2018,67
68,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:03:08 +0000 2018,68
69,@CNN,-0.296,0.808,0.126,0.066,Wed Jun 13 22:01:06 +0000 2018,69
70,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:51:06 +0000 2018,70
71,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:47:59 +0000 2018,71
72,@CNN,-0.5423,0.829,0.171,0.0,Wed Jun 13 21:41:57 +0000 2018,72
73,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:37:38 +0000 2018,73
74,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:33:17 +0000 2018,74
75,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:29:45 +0000 2018,75
76,@CNN,0.4215,0.882,0.0,0.118,Wed Jun 13 21:26:46 +0000 2018,76
77,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:24:49 +0000 2018,77
78,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:11:37 +0000 2018,78
79,@CNN,-0.4404,0.861,0.139,0.0,Wed Jun 13 21:07:12 +0000 2018,79
80,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 21:03:43 +0000 2018,80
81,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 20:55:07 +0000 2018,81
82,@CNN,0.7003,0.721,0.0,0.279,Wed Jun 13 20:46:37 +0000 2018,82
83,@CNN,0.1027,0.931,0.0,0.069,Wed Jun 13 20:36:00 +0000 2018,83
84,@CNN,0.7269,0.736,0.0,0.264,Wed Jun 13 20:35:45 +0000 2018,84
85,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 20:33:12 +0000 2018,85
86,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 20:18:47 +0000 2018,86
87,@CNN,-0.6486,0.694,0.306,0.0,Wed Jun 13 20:17:39 +0000 2018,87
88,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 20:11:08 +0000 2018,88
89,@CNN,-0.624,0.854,0.146,0.0,Wed Jun 13 20:11:06 +0000 2018,89
90,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 20:01:00 +0000 2018,90
91,@CNN,0.4215,0.887,0.0,0.113,Wed Jun 13 19:50:10 +0000 2018,91
92,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 19:40:07 +0000 2018,92
93,@CNN,-0.296,0.891,0.109,0.0,Wed Jun 13 19:35:00 +0000 2018,93
94,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 19:30:10 +0000 2018,94
95,@CNN,0.4939,0.849,0.0,0.151,Wed Jun 13 19:20:05 +0000 2018,95
96,@CNN,-0.7717,0.717,0.283,0.0,Wed Jun 13 19:10:09 +0000 2018,96
97,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 19:00:13 +0000 2018,97
98,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 18:50:08 +0000 2018,98
