,Closest City name,Closest Country code,Latitude,Longitude,Date,Temperature,Wind speed,Humidity,Cloudiness
228,paducah,us,37.08,-88.6,1528353300.0,69.8,3.13,100.0,1.0
229,ust-tsilma,ru,65.44,52.15,1528355718.0,46.19,6.71,65.0,48.0
230,waipawa,nz,-39.94,176.59,1528355718.0,45.92,12.08,93.0,92.0
231,bud,no,62.91,6.91,1528354200.0,51.8,4.7,71.0,75.0
232,svetlogorsk,ru,53.14,59.15,1528353000.0,57.2,17.9,62.0,90.0
233,cotonou,bj,6.37,2.43,1528354800.0,75.2,8.05,88.0,40.0
234,kaoma,zm,-14.8,24.8,1528355720.0,47.45,6.6,79.0,0.0
235,bardiyah,ly,31.76,25.09,1528355720.0,76.34,4.7,81.0,0.0
238,matara,lk,5.95,80.54,1528355721.0,77.15,13.98,100.0,88.0
239,shetpe,kz,44.14,52.16,1528355721.0,86.69,11.86,35.0,32.0
240,sabzevar,ir,36.21,57.68,1528355722.0,90.56,3.24,24.0,0.0
241,tshane,bw,-24.02,21.87,1528355722.0,36.11,2.91,69.0,0.0
242,iqaluit,ca,63.75,-68.52,1528354800.0,28.4,6.93,79.0,90.0
243,adre,td,13.47,22.2,1528355723.0,74.9,5.93,23.0,0.0
244,kautokeino,no,69.01,23.04,1528355723.0,37.55,7.83,57.0,68.0
245,tuktoyaktuk,ca,69.44,-133.03,1528351200.0,32.0,10.29,92.0,44.0
246,tautira,pf,-17.73,-149.15,1528354800.0,77.0,4.7,83.0,20.0
247,yichang,cn,30.77,111.32,1528355724.0,87.23,4.92,84.0,0.0
248,rumoi,jp,43.93,141.67,1528351200.0,78.8,12.75,39.0,75.0
249,gorom-gorom,bf,14.45,-0.24,1528355725.0,78.95,11.41,74.0,80.0
250,saskylakh,ru,71.97,114.09,1528355725.0,61.49,6.6,72.0,0.0
251,mokhotlong,ls,-29.29,29.06,1528355726.0,17.66,2.01,59.0,0.0
252,atuona,pf,-9.8,-139.03,1528355726.0,80.93,16.67,100.0,80.0
253,thompson,ca,55.74,-97.86,1528354800.0,42.8,2.13,100.0,20.0
254,saint-joseph,re,-21.37,55.62,1528353000.0,82.4,5.82,58.0,0.0
255,jimo,cn,36.39,120.46,1528351200.0,86.0,8.95,51.0,0.0
257,mopti,ml,14.49,-4.19,1528351200.0,86.0,11.41,58.0,0.0
258,luderitz,na,-26.65,15.16,1528355728.0,56.99,4.03,63.0,12.0
259,hervey bay,au,-25.3,152.85,1528355728.0,65.27,17.9,100.0,88.0
260,grants pass,us,42.44,-123.33,1528354560.0,66.2,9.17,93.0,1.0
261,milton,nz,-46.12,169.96,1528355729.0,47.09,15.77,90.0,92.0
262,dikson,ru,73.51,80.55,1528355729.0,33.32,23.94,96.0,0.0
263,masvingo,zw,-20.08,30.83,1528355730.0,47.54,3.02,98.0,88.0
264,wa,gh,10.06,-2.51,1528355730.0,75.26,7.61,88.0,8.0
265,labuan,my,5.33,115.2,1528353000.0,91.4,6.93,75.0,75.0
266,marshall,us,39.39,-87.69,1528353300.0,71.6,4.7,88.0,1.0
267,taiyuan,cn,37.86,112.56,1528353000.0,86.0,2.24,15.0,40.0
268,lompoc,us,34.64,-120.46,1528354560.0,59.0,11.41,87.0,90.0
269,keuruu,fi,62.26,24.71,1528354200.0,48.2,9.17,61.0,0.0
270,avarua,ck,-21.21,-159.78,1528354800.0,73.4,2.24,88.0,20.0
272,yeppoon,au,-23.13,150.74,1528354800.0,73.4,6.93,49.0,0.0
274,yenagoa,ng,4.92,6.26,1528355733.0,77.24,4.14,95.0,80.0
276,albany,au,-35.02,117.88,1528355734.0,59.51,12.75,60.0,36.0
277,niono,ml,14.25,-5.99,1528355734.0,77.69,7.94,53.0,36.0
278,athens,us,33.96,-83.39,1528353300.0,73.4,5.82,69.0,1.0
279,jining,cn,35.41,116.58,1528355735.0,92.0,5.03,55.0,0.0
280,nyurba,ru,63.29,118.35,1528355735.0,81.65,8.39,22.0,0.0
281,emporia,us,38.4,-96.18,1528350780.0,73.4,5.82,83.0,1.0
282,puteyets,ru,65.17,57.09,1528355736.0,46.73,8.05,73.0,8.0
284,aksu,cn,41.12,80.26,1528355736.0,65.63,3.91,75.0,64.0
285,texarkana,us,33.44,-94.04,1528354380.0,75.2,6.93,73.0,1.0
286,labuhan,id,-2.54,115.51,1528355737.0,84.53,2.8,78.0,44.0
287,fallon,us,46.84,-105.12,1528353000.0,66.2,10.29,72.0,90.0
289,villanueva de la serena,es,38.97,-5.8,1528355738.0,53.12,6.38,90.0,24.0
290,monchegorsk,ru,67.94,32.93,1528355739.0,39.17,6.38,64.0,80.0
291,diego de almagro,cl,-26.39,-70.05,1528355739.0,45.56,2.35,80.0,0.0
292,delijan,ir,33.99,50.69,1528355739.0,82.28,3.69,29.0,0.0
293,broken hill,au,-31.97,141.45,1528355740.0,67.25,13.65,42.0,8.0
294,vaini,to,-21.2,-175.2,1528354800.0,71.6,3.36,94.0,90.0
295,roma,au,-26.57,148.79,1528355740.0,67.79,9.17,48.0,0.0
296,badou,tg,7.58,0.61,1528355741.0,69.23,2.91,100.0,36.0
297,san pedro,ph,14.36,121.05,1528351200.0,87.8,11.41,84.0,75.0
298,yellowknife,ca,62.45,-114.38,1528354800.0,41.0,4.7,70.0,75.0
299,kalmunai,lk,7.42,81.82,1528355742.0,87.59,11.97,73.0,76.0
300,hamilton,bm,32.3,-64.78,1528350900.0,77.0,11.41,88.0,75.0
301,sesimbra,pt,38.45,-9.1,1528354800.0,60.8,5.82,82.0,90.0
302,pishva,ir,35.31,51.73,1528353000.0,91.4,13.87,9.0,0.0
306,utiel,es,39.57,-1.21,1528354800.0,62.6,2.24,72.0,0.0
308,warri,ng,5.52,5.75,1528355745.0,77.06,4.36,98.0,100.0
309,broome,au,-17.97,122.23,1528354800.0,82.4,14.99,58.0,0.0
310,kapchorwa,ug,1.4,34.45,1528355745.0,65.72,2.68,98.0,20.0
311,seydi,tm,39.48,62.91,1528355746.0,96.86,11.18,25.0,0.0
312,grand baie,mu,-20.02,57.58,1528351200.0,82.4,14.99,65.0,40.0
313,karasburg,na,-28.01,18.75,1528355746.0,46.1,8.39,53.0,0.0
316,nangong,cn,37.36,115.37,1528355747.0,92.99,9.62,40.0,44.0
317,kaduqli,sd,11.01,29.72,1528355748.0,81.92,7.83,61.0,0.0
318,coronado,us,38.49,-101.3,1528353300.0,89.6,17.22,13.0,75.0
319,bondo,cd,3.81,23.69,1528355748.0,75.35,2.68,88.0,0.0
320,lagoa,pt,37.14,-8.45,1528354800.0,59.0,6.93,87.0,0.0
321,san juan del sur,ni,11.25,-85.87,1528355749.0,82.73,12.97,78.0,92.0
322,moerai,pf,-22.43,-151.33,1528355749.0,78.41,2.91,98.0,44.0
323,healdsburg,us,38.61,-122.87,1528353300.0,57.2,6.93,87.0,90.0
324,uyuni,bo,-20.46,-66.82,1528355750.0,25.22,6.15,54.0,20.0
325,saldanha,za,-33.01,17.94,1528351200.0,51.8,1.12,81.0,20.0
326,cabra,ph,13.89,120.05,1528355751.0,77.69,13.42,100.0,92.0
327,rabak,sd,13.18,32.74,1528355659.0,85.7,17.45,53.0,0.0
328,izhma,ru,65.01,53.91,1528355752.0,47.45,5.7,66.0,12.0
329,san jose,bo,-17.94,-63.35,1528351200.0,53.6,12.75,100.0,90.0
330,bambous virieux,mu,-20.34,57.76,1528351200.0,82.4,14.99,65.0,40.0
332,segou,ml,13.43,-6.22,1528355753.0,76.25,12.41,80.0,80.0
333,zaranj,af,30.95,61.86,1528351200.0,109.4,33.33,8.0,0.0
334,alakurtti,ru,66.96,30.34,1528355754.0,41.96,5.59,47.0,48.0
335,kang,bw,-23.67,22.79,1528355754.0,37.91,2.57,72.0,0.0
336,phalaborwa,za,-23.95,31.14,1528355754.0,53.39,3.69,84.0,0.0
337,touros,br,-5.2,-35.46,1528355755.0,76.88,7.72,96.0,48.0
339,russellville,us,35.28,-93.13,1528350780.0,71.6,2.35,88.0,1.0
340,vagur,fo,61.47,-6.81,1528355756.0,49.16,8.61,98.0,0.0
341,ouidah,bj,6.37,2.09,1528354800.0,75.2,8.05,88.0,40.0
342,natchez,us,31.56,-91.4,1528350960.0,69.8,2.57,100.0,1.0
343,barcelona,ve,10.14,-64.69,1528355757.0,76.79,5.7,100.0,8.0
344,sao joao da barra,br,-21.64,-41.05,1528355593.0,73.73,10.96,100.0,24.0
345,chongwe,zm,-15.33,28.68,1528355757.0,50.06,4.03,75.0,0.0
346,port hawkesbury,ca,45.62,-61.36,1528354800.0,41.0,5.82,100.0,90.0
347,meulaboh,id,4.14,96.13,1528355758.0,85.79,4.03,98.0,0.0
348,dengzhou,cn,32.69,112.08,1528355759.0,91.64,3.91,72.0,0.0
349,cine,tr,37.61,28.06,1528354200.0,86.0,11.41,45.0,0.0
350,mar del plata,ar,-46.43,-67.52,1528355480.0,24.5,3.91,100.0,0.0
351,tamale,gh,9.4,-0.84,1528355760.0,76.16,7.49,91.0,80.0
352,grand-lahou,ci,5.24,-5.0,1528355761.0,74.81,4.14,99.0,92.0
353,hima,ug,0.3,30.18,1528355761.0,68.69,2.68,86.0,0.0
354,cairns,au,-16.92,145.77,1528354800.0,73.4,17.22,56.0,20.0
355,nikel,ru,69.41,30.22,1528354200.0,39.2,16.11,69.0,75.0
356,punta arenas,cl,-53.16,-70.91,1528351200.0,30.2,3.36,92.0,40.0
358,verkhnyaya inta,ru,65.99,60.32,1528355762.0,46.37,7.61,64.0,0.0
