,Closest City name,Closest Country code,Latitude,Longitude,Date,Temperature,Wind speed,Humidity,Cloudiness
444,zyryanka,ru,65.73,150.89,1528355803.0,59.51,2.68,41.0,0.0
445,tsabong,bw,-26.02,22.4,1528355803.0,37.82,2.91,67.0,0.0
446,victoria,sc,-4.62,55.45,1528351200.0,84.2,11.41,74.0,40.0
447,alanya,tr,36.55,32.0,1528355804.0,79.58,1.57,84.0,0.0
448,pisco,pe,-13.71,-76.2,1528351200.0,62.6,5.82,93.0,90.0
449,agirish,ru,61.92,63.02,1528355805.0,54.74,5.82,62.0,88.0
451,comodoro rivadavia,ar,-45.87,-67.48,1528351200.0,39.2,4.7,60.0,0.0
454,linqing,cn,36.85,115.71,1528355807.0,94.25,4.36,47.0,32.0
455,bella vista,py,-27.04,-55.58,1528351200.0,50.0,5.82,81.0,0.0
456,nador,ma,35.17,-2.93,1528354800.0,66.2,3.36,55.0,0.0
458,hay river,ca,60.82,-115.79,1528354800.0,42.8,3.58,81.0,75.0
459,tortosa,es,40.81,0.52,1528354800.0,68.0,5.59,64.0,0.0
460,porosozero,ru,62.72,32.71,1528355809.0,44.57,7.38,59.0,68.0
461,mareeba,au,-16.99,145.42,1528354800.0,73.4,17.22,56.0,20.0
462,kulhudhuffushi,mv,6.62,73.07,1528355810.0,82.73,19.8,100.0,92.0
463,bugko,ph,12.54,124.79,1528355810.0,83.9,21.03,100.0,92.0
465,vavuniya,lk,8.76,80.5,1528355811.0,87.68,22.26,65.0,76.0
466,lingyuan,cn,41.24,119.4,1528355811.0,73.37,1.79,65.0,56.0
467,muyezerskiy,ru,63.93,31.65,1528355811.0,45.11,8.5,55.0,64.0
468,kroonstad,za,-27.65,27.24,1528355812.0,35.21,3.91,65.0,0.0
469,kavaratti,in,10.57,72.64,1528355812.0,77.96,18.57,100.0,92.0
471,yalvac,tr,38.3,31.18,1528355813.0,68.15,2.91,66.0,0.0
472,monteagudo,bo,-19.8,-63.96,1528355813.0,41.51,0.89,93.0,64.0
473,kushiro,jp,43.11,144.15,1528351200.0,57.2,10.29,87.0,75.0
474,port hedland,au,-20.31,118.58,1528354800.0,75.2,10.29,88.0,90.0
475,itarema,br,-2.92,-39.92,1528355815.0,74.63,6.38,95.0,8.0
476,huescar,es,37.81,-2.54,1528355815.0,41.78,2.68,90.0,12.0
